nm	kind_code
2 Monkey Trading, LLC	0
2.3.4 Skins Pty Ltd	0
20 EMMA 20 S.L.	0
20/20 CTE, LLC	0
20/20 GeneSystems, Inc.	0
20/20 Profiles, LLC	0
20/20 Vision Center, LLC	0
2020 IP LLC	0
2020 POWER GENERATION LIMITED	0
2028631 ONTARIO INC.	0
2040422 Ontario Inc.	0
205 Ridgmont Solutions, L.L.C.	0
206 ORTHO, Inc.	0
2064818 Ontario Inc.	0
2082053 Ontario Limited	0
20MED Therapeutics B.V.	0
21 CT, Inc.	0
21 Srl	0
21, Inc.	0
2109617 Ontario Inc.	0
212 WATER SERVICES, LLC	0
212, LLC	0
214 Technologies Inc.	0
2141632 Ontario Inc.	0
2156389 ONTARIO, INC.	0
2168587 Ontario Ltd.	0
2178450 Ontario Inc.	0
21CT, Inc.	0
21st Century Medicine Inc.	0
21st Century Products, Inc.	0
21ViaNet Group, Inc.	0
22 Evolution LLC	0
2204217 Ontario Inc.	0
2214099 Ontario Limited	0
2224568 Ontario Inc.	0
2234220 Ontario Inc.	0
2236008 Ontario Inc.	0
2236008 Ontario, Inc.	0
2236008 Ontartio Inc.	0
2238366 Ontario Inc.	0
226008 Ontario Inc.	0
2262058 Ontario Ltd.	0
2266170 Ontario Inc.	0
2292055 Ontario Inc.	0
2294719 Ontario Limited	0
22nd Century Limited LLC	0
22nd Century Limited, LLC	0
2301142 Ontario Inc.	0
2307450 Ontario Limited	0
2327086 Ontario Ltd.	0
2330-2029 Quebec, Inc.	0
2331535 Ontario LTD	0
2336063 ONTARIO INC.	0
2341451 Ontario Inc.	0
2343127 Ontario Inc.	0
2343127 Ontartio Inc.	0
2345422 Ontario Inc.	0
2351161 ONTARIO LIMITED	0
2360216 ONTARIO INC.	0
2362738 Ontario Inc.	0
2373945 Ontario Inc.	0
2378807 Ontario Inc.	0
2395954 Ontario Inc.	0
23andMe, Inc.	0
24/7 CUSTOMER, INC.	0
2442033 ONTARIO INC.	0
2468336 Ontario Inc.	0
247Meeting (Ireland) Limited	0
2481679 Ontario Inc.	0
24M Technologies, Inc.	0
24-M Technologies, Inc.	0
2525 Group, Inc.	0
2581776 Ontario Inc.	0
2603701 Ontario Inc.	0
26-F, LLC	0
28 Engineering LLC	0
28msec Inc.	0
298679 Ontario Inc.	0
2A ARMAMENT, LLC	0
2Alfa Hydrotech AB	0
2-B Energy Holding B.V.	0
2B Technologies, Inc.	0
2BR Creations, LLC	0
2BREATHE TECHNOLOGIES LTD.	0
2C Products, LLC	0
2CASE, LLC	0
2Cimple, Inc.	0
2cureX	0
2D3 LIMITED	0
2E Environmental, LLC	0
2G Robotics Inc.	0
2GATHER INC.	0
2GIG Technologies, Inc.	0
2Go Products LLC	0
2iC Australia Pty Ltd.	0
2K POLYMER SYSTEMS LIMITED	0
2K TOOLS AS	0
2KDirect, LLC	0
2KNOME LLC	0
2LOW INC.	0
2M Engineering Limited	0
2M Engineering LMT.	0
2M PRODUCTS, LLC	0
2M TEK, Inc.	0
2MANDARINS LTD.	0
2M-TEK, Inc.	0
2ND LIFE TECH. LLC	0
2nd Skull, Inc.	0
2nd Skull, LLC	0
2ndAir B.V.	0
2NDSTORYPLUS, LLC	0
2nfro Technology Ventures LLC	0
2-OBSERVE S.A.	0
2P &amp; M Holdings, LLC	0
2Point B, LLC	0
2POINTB, LLC.	0
2QR Research B.V.	0
2S Innovations, Inc.	0
2S INNVATIONS, INC.	0
2Sentient Inc.	0
2T2J, Inc.	0
2think, LLC	0
2WP Internation Pty Ltd.	0
2Y-CHEM, LTD.	0
3 Boys Limited	0
3 D Clean Coal Emissions Stack, LLC	0
3 Fish Limited	0
3 IN 1 DENTAL PLLC	0
3 NET WISE, INC.	0
3 Pak Holdings, LLC	0
3 Phase Energy Systems, Inc.	0
3 Phoenix, Inc.	0
3 Step IT Group Oy	0
3 STRIKE, LLC	0
3 West C, LLC	0
3 Y Power Technology (Taiwan), Inc.	0
300K Enterprises Pty Ltd	0
302 Hospital of PLA, China	2
302 Military Hospital of China	2
308, LLC	0
3088-7418 Quebec Inc.	0
3162212 Nova Scotia Limited	0
3173879 Canada Inc. (OTL)	0
31NORTH, INC.	0
323 Media Group	0
323, LLC	0
3233 Via Dunham LLC	0
32ATPs, LLC	0
3-5 Power Electronics GmbH	0
351471 Alberta Ltd.	0
355323 B.C. Ltd.	0
3584925 CANADA INC (DRL SYSTEMS)	0
360 Autoview LLC	0
360 BOOTH, INC.	0
360 Genomics Limited	0
360 Heros, Inc.	0
360 LAB LLC.	0
360 Products, LLC	0
360 Yield Center, LLC	0
360¡Æ BALLISTICS, LLC	0
360Brandvision, Inc.	0
360FLY, INC.	0
365 Retail Markets, LLC	0
37Degree Filters, Inc.	0
381572 Ontario Limited	0
3833364 Canada Inc.	0
3861589 Canada, Inc.	0
38th Research Institute, China Electronics Technology Group Corporation	0
39degrees C Inc.	0
3A Composites GmbH	0
3A Technology &amp; Management Ltd.	0
3Ality Digital Systems, LLC	0
3AM Innovations LLC	0
3B Construction Solutions, Inc.	0
3B FIBREGLASS SPRL	0
3B Pharmaceuticals, Inc.	0
3B Product Development, LLC	0
3B Solstar Limited	0
3B TECHNOLOGIES II	0
3B Technologies, Inc.	0
3BEEZ, LLC	0
3B-FIBERGLASS SPRL	0
3B-Fibreglass sprl	0
3Bills, LLC	0
3C AUTOMATION, INC.	0
3C Capital, LLC	0
3CA Enterprises, Inc.	0
3-CI Partnership	0
3-CS Ltd	0
3D Biomatrix, Inc.	0
3D Clean Coal Emissions Stack LLC	0
3D Data LLC	0
3-D Frame Solutions LLC	0
3D Fuse Sarl	0
3D FUSE TECHNOLOGY INC.	0
3D Glass Solutions	0
3D GLASS SOLUTIONS, INC.	0
3D GLOBAL BIOTECH INC.	0
3D Image Automation Pty Ltd	0
3D IMAGING &amp; SIMULATIONS CORP.	0
3D Imaging Partners	0
3D Innovations, LLC	0
3D Innovative Properties Company	0
3D International Europe GmbH	0
3D Labs Co., Ltd.	0
3D Lighting FX Inc.	0
3D Lighting Innovations Inc.	0
3-D Matrix Ltd.	0
3D Matrix, Inc.	0
3-D Matrix, Ltd.	0
3D Media Corporation	0
3D Medical Exfix, LLC	0
3D MEDICINES, LTD.	0
3D NURI Co., Ltd.	0
3D Operations, Inc.	0
3D Patents, LLC	0
3D PLUS	0
3D Printlife LLC	0
3D Product Imaging Inc.	0
3D Radio LLC	0
3D Radio, LLC	0
3D Signatures Holdings Inc.	0
3D SIGNATURES INC.	0
3D Space Arms Pty Ltd	0
3D SYSTEMS KOREA, INC.	0
3D Systems, Inc	0
3D Systems, Inc.	0
3D SYSTEMS, INCORPORATED	0
3D TOTAL SOLUTIONS, INC.	0
3D UROLOGIC LLC	0
3-D Virtual Lens Technologies, LLC	0
3D-4U, Inc.	0
3DB Access AG	0
3D-Bio Co., Ltd.	0
3DBIOPSY LLC	0
3DBiopsy, Inc.	0
3Dbotics, Inc.	0
3DCALZ, LLC	0
3dcd, LLC	0
3DCERAM	0
3Degrees LLC	0
3DEO, Inc.	0
3DFAMILY TECHNOLOGY CO., LTD.	0
3DFS L.L.C.	0
3DG Design Lab	0
3DHISTECH KFT.	0
3DI LLC	0
3DI Power Limited	0
3DIcon Corporation	0
3Ditize SL	0
3DiVi Company	0
3DLabs Inc. Ltd.	0
3DLabs Inc., Ltd.	0
3DM Digital Manufacturing Ltd	0
3DMedia Corporation	0
3D-Micromac AG	0
3DN, LLC	0
3DOM INC.	0
3DP Modelling AS	0
3DPhotoWorks LLC	0
3D-RADAR AS	0
3DRAGONS, LLC	0
3DT Holdings, LLC	0
3D-TEK LLC	0
3DTL, Inc.	0
3Dtro AB	0
3DV Co. Ltd.	0
3DV Co., Ltd.	0
3DVIA	0
3E THERAPEUTICS CORPORATION	0
3-EAST, LLC	0
3eflow AB	0
3Eye, LLC	0
3FISH LIMITED	0
3FORCE B.V.	0
3form, Inc.	0
3form, LLC	0
3G BIKES, LLC	0
3G Innovations LLC	0
3G Licensing S.A.	0
3Gen, Inc.	0
3-GIS	0
3GSOLAR PHOTOVALTAICS LTD.	0
3GSOLAR PHOTOVOLTAICS LTD.	0
3Inova Networks Inc.	0
3IP HANGUNG CO., LTD	0
3JT Enterprises, LLC	0
3K ANESTHESIA INNOVATIONS, LLP	0
3L Distribution	0
3L Distribution Industrie	0
3L Ludvigsen A/S	0
3M Bricolage Et Batiment	0
3M Deutschland GmbH	0
3M ESPE AG	0
3M Innovation Properties Company	0
3M Innovative  Properties Company	0
3M INNOVATIVE PROPERTIES	0
3M INNOVATIVE PROPERTIES CO.	0
3M Innovative Properties Comany	0
3M INNOVATIVE PROPERTIES COMPANIES	0
3M Innovative Properties Company	0
3M INNOVATIVE PROPERTIES COMPNAY	0
3M Innovative Properties Inc.	0
3M Innovative Properties, Co.	0
3M Innovative Properties, Company	0
3M Inovative Properties Company	0
3M Intellectual Property Company	0
3M Svenska AB	0
3MADMEN	0
3mensio Medical Imaging B.V.	0
3Nine AB	0
3-O LAB CO. LTD.	0
3P BIOPHARMACEUTICALS, S.L.	0
3P Innovation Limited	0
3P Technik Filtersysteme GmbH	0
3Play Media, Inc.	0
3R Global Co., Ltd.	0
3R Global Inc.	0
3R PRODUCTS, LLC	0
3R SEMICONDUCTOR TECHNOLOGY INC.	0
3R VALO, Societe en commandite	0
3RB LLC	0
3RD BRAND PTE. LTD.	0
3rd Forensic Limited	0
3RD MILLENNIUM SOLUTIONS, INC.	0
3rd Power Amplication	0
3rd Power Amplification Systems	0
3RD POWER AMPLIFICATION, LLC	0
3rd Rock Sunblock, Inc.	0
3Rings Care Ltd	0
3S Gas Technologies Limited	0
3S Hi-Technologies Co., Ltd.	0
3S KOREA CO., LTD.	0
3SAE Technologies, Inc.	0
3SHAPE A/S	0
3SI Security Systems N.V.	0
3SI Security Systems, Inc.	0
3SMK Co., Ltd.	0
3SP?SELF SUFICIENT SYSTEMS PROJECTS?INVESTIGAcAO E DESENVOL VIMENTO DE TECHNOLOGIAS, LIMITADA	0
3ST Research LLC	0
3-TAND, LLC	0
3-V Biosciences, Inc.	0
3V Sigma S.p.A.	0
3VO Medical, Inc.	0
3VR Security, Inc.	0
3X ENGINEERING	0
3X TECHNOLOGY	0
3Y POWER TECHNOLOGY (TAIWAN), INC.	0
4 Audio LLC	0
4 BOX SRL	0
4 EVER LEVEL COMPANY	0
4 Info, Inc.	0
4 Knines, LLC	0
4 Leaf Patent Partners, LLC	0
4 MH Advertising, LLC	0
4 Patient Care	0
4 Power 4	0
4 S Technologies, LLC	0
4 SC AG	0
4 TECH INC.	0
4 TEL PTY LTD	0
4 Thumbs, LLC	0
403 Labs, LLC	0
41 medical AG	0
410 Medical, Inc.	0
4141 HOLDINGS, LLC	0
417 and 7/8 LLC	0
417 and 7/8, LLC	0
41Hemiverse AG	0
41medical AG	0
42 TECHNOLOGY LIMITED	0
420820 Ontario Limited	0
4233999 Canada Inc.	0
425, Inc.	0
4321 Holding Company, LLC	0
4361423 Canada Inc.	0
4382412 Canada Inc.	0
4390890 CANADA INC.	0
442 Ventures, LLC	0
454 Life Sciences Corporation	0
456CORP	0
45TH PARALLEL LIGHTING, LLC	0
46 Labs Ops	0
473 TECHNOLOGY, INC.	0
480 Biomedical Inc.	0
480 BIOMEDICAL, INC.	0
4A Manufacturing GmbH	0
4a medicom GmbH	0
4A Technologies, LLC	0
4activeSystems GmbH	0
4-Antibody AG	0
4B Components Limited	0
4B DREAM CO., LTD.	0
4Clicks Solutions, LLC	0
4COLORS INC.	0
4CSOLAR, Inc.	0
4D Dental Systems, Inc.	0
4D Intellectual Properties, LLC	0
4D Pharma PLC	0
4D Pharma Research Limited	0
4D Retail Technology Corp.	0
4D SENSOR INC.	0
4D TECH SOLUTIONS, INC.	0
4D TECHNOLOGY CORPORATION	0
4D Tents, LLC	0
4DCM, LLC	0
4DK Technologies, Inc.	0
4Dream Co., Ltd.	0
4D-S LTD.	0
4D-S PTY, LTD	0
4D-S Pty. Ltd	0
4D-S, Ltd	0
4ELDER S.R.L.	0
4ELEMENTS INVENT LTD	0
4Energy Ltd	0
4ESYS NV	0
4Everlearning Holdings Ltd.	0
4Front Engineered Solutions, Inc.	0
4G1D HOLDCO LLC	0
4GID HOLDCO LLC	0
4GQR LLC	0
4HEADWEAR, LLC	0
4I S.R.L.	0
4iiii Innovations Inc.	0
4INFO, Inc.	0
4JET Technologies GmbH	0
4Knines, LLC	0
4-L Manufacturing, Inc.	0
4LIFE PATENTS, LLC	0
4LINKS LIMITED	0
4M Company	0
4medica, Inc.	0
4ONE, LLC	0
4Power, LLC	0
4S Industries, Inc.	0
4SC AG	0
4SC DISCOVERY GMBH	0
4SC MG	0
4Sense, Inc.	0
4SeTV, Inc.	0
4Sight Imaging Limited	0
4Sight Innovation B.V.	0
4SILENCE B.V.	0
4sphere LLC	0
4TECH INC.	0
4th-Phase, Inc.	0
4TIITOO GMBH	0
4Topps LLC	0
4Topps, LLC	0
4-Valves, LLC	0
4WEB	0
4WEB, Inc.	0
4-Web, Inc.	0
4What LLC	0
5 Examples, Inc.	0
5 Seas Engineering &amp; Trading LLC	0
5 Star, LLC	0
5.11 Inc.	0
5.11, INC.	0
5/4 Deckor, LLC	0
500 Group Inc.	0
509 Fabrications, Inc.	0
51 Club, LLC	0
51 Degrees Mobile Experts Limited	0
511 Innovations Inc.	0
511 Innovations, Inc.	0
5280 Prosthetics LLC	0
540 Grid Solutions, LLC	0
555 International, Inc.	0
560 Holdings, LLC	0
5794 Corporation	0
5D I.P., L.L.C.	0
5D Oilfield Magnetics IP Pressure Systems, LLC	0
5D Robotics, Inc.	0
5D Tactical LLC	0
5d Tactical, LLC	0
5ELEM MATERIAL SCIENTIFIC (JIANGSU) CO., LTD.	0
5eTek, LLC	0
5K IP-1 LLC	0
5K IP-1, LLC	0
5ME IP, LLC	0
5med GmbH	0
5o9, Inc.	0
5th Element Limited	0
5th Tier Limited	0
5x Surgical, LLC	0
6 North Design LLC	0
6 OVER 6 VISION LTD.	0
6 Pack Fitness, LLC	0
6 River Systems, Inc.	0
6 Sense Insights, Inc.	0
60 Degrees Pharmaceuticals LLC	0
6020356 Canada Inc.	0
608 Enterprises, LLC	0
60EAST TECHNOLOGIES, INC.	0
6115187 Canada, Inc.	0
61C&amp;S Co., Ltd.	0
6251374 Canada Inc.	0
62770 Manitoba Ltd	0
6317414 Manitoba Ltd	0
643096 Alberta Limited	0
6464076 Canada Inc.	0
650340 N.B LTD.	0
650438 Alberta Ltd.	0
6511660 Canada Inc.	0
658868 N.B. Inc.	0
6672205 CANADA INCORPORATED	0
670988 NB INC.	0
6732667 Manitoba Inc.	0
6943977 Canada Inc.	0
6989837 Canada Ltd.	0
6CONNECT, INC.	0
6D Helmets, LLC	0
6Fusion USA Inc.	0
6Harmonics Inc.	0
6S Limited	0
6th Wave Innovations Corp.	0
7 Billion People, Inc.	0
7 COUSINS LLC	0
7 Seas Technology AS	0
7108789 Manitoba Inc.	0
710-CLEANER, LLC	0
7142871 Canada Inc.	0
7232552 Manitoba LTD.	0
7238703 Canada Inc.	0
72LUX, INC.	0
73 Innovations, LLC	0
73100-Setenta E Tres Mil &amp; Cem, LDA.	0
73100-Setenta E Tres Mil E Cem, LDA	0
73100-Setenta e Tres Mil e Cem, Lda.	0
7312903 Canada, Inc.	0
7417986 Manitoba Inc.	0
7517700 Canada Inc. O/A Girih	0
7525443 Canada Inc.	0
761250 ALBERTA LTD.	0
7685297 Canada Inc.	0
77 Elektronika Muszeripari KFT	0
777388 Ontario Limited	0
7794754 CANADA INC.	0
785291314, Inc.	0
7905122 Canada Inc.	0
7980302 Canada Inc.	0
7A9, LLC	0
7AC Technologies	0
7AC Technologies, Inc.	0
7D SURGICAL INC.	0
7D SURGICAL, INC.	0
7-Eleven, Inc.	0
7HUGS LABS	0
7R Communications, LLC	0
7RDD Limited	0
7-SIGMA Inc.	0
7-Sigma Incorporated	0
7-Sigma, Inc.	0
7Signal OY	0
7Signal Solutions, Inc.	0
7Tunnels, Inc.	0
8 LEAF DIGITAL PRODUCTIONS INC.	0
8 Rivers Capital, LLC	0
8 Rivers Capital, LLC &amp; Palmer Labs, LLC	0
8¡¿8, Inc.	0
80 Percent Arms Inc.	0
800 RESPONSE INFORMATION SERVICES LLC	0
800 RESPONSE MARKETING LLC	0
802 Systems Inc.	0
8146896 Canada Inc.	0
8157120 CANADA INC.	0
8242186 Canada Inc.	0
8287872 Canada Inc.	0
8303142 CANADA INC.	0
8318808 Canada Inc.	0
8324450 Canada Inc.	0
8324450 Delaware LLC	0
8372683 Canada, Inc.	0
8452059 Canada Inc.	0
8521000 Canada Limited	0
8631654 Canada Inc.	0
8758271 Canada Inc.	0
8797625 CANADA INC.	0
87K, LLC	0
8822077 Canada Corp.	0
8825319 Canada Limited	0
8831386 CANADA INC.	0
8879192 CANADA Inc.	0
888Extramoney.com, LLC	0
8906912 Canada, Inc.	0
8952272 CANADA INC.	0
8D Technologies Inc.	0
8i Limited	0
8KDATA TECHNOLOGY S.L.	0
8x8, Inc.	0
9. Solutions Technology Co., Ltd.	0
9011579 CANADA INCORPOREE	0
9019-8813 Quebec Inc.	0
9020-4983 Quebec Inc.	0
9051147 CANADA INC.	0
9052151 Canada Corporation	0
906 ENGINEERING CORP.	0
9069569 Canada Inc.	0
908 Devices Inc.	0
9088-5625 QUEBEC INC.	0
9091-4532 QUEBEC INC.	0
911 Datamaster, Inc.	0
9127-4910 Quebec Inc.	0
9128-5270 Quebec Inc.	0
9136665 Canada Inc	0
915 Labs, LLC	0
9155-0020 Quebec Inc.	0
9155-0020 QUEBEC INC.	0
9155279 CANADA LTD.	0
9158-7147 Quebec Inc.	0
9163-9047 QUEBEC INC.	0
9177-4331 Quebec inc.	0
9201947 Canada Inc.	0
9223-0523 Quebec Inc.	0
9224-5489 QUEBEC INC.	0
9224-9838 Quebec Inc.	0
9225-6619 Quebec Inc.	0
9234438 Canada Inc	0
9234438 CANADA INC.	0
9253-8444 QUEBEC INC.	0
9269-1096 QUEBEC INC.	0
9282-3087 QUEBEC INC.	0
9301160 CANADA INC.	0
9304-7645 QUEBEC INC.	0
9306-6801 QUEBEC INC.	0
9319-8729 QUEBEC INC.	0
9344-8462 Quebec Inc.	0
935 KOP Associates, LLC	0
9609385 CANADA INC.	0
9619674 Canada Inc.	0
978652 Ontario Limited	0
99 HOLDING S.A.R.L.	0
9D TECHNOLOGIES COMPANY LIMITED	0
9F, Inc.	0
9Fiber, Inc.	0
9G Products, Inc.	0
9Lenses, Inc.	0
9Lives, LLC	0
9S LLC	0
9Solutions Oy	0
A &amp; A Attachments, LLC	0
A &amp; A FRATELLI PARODI, S.p.A.	0
A &amp; B Packing Equipment, Inc.	0
A &amp; E Incorporated	0
A &amp; O Technologie GmbH	0
A &amp; R CARTON OY	0
A &amp; R Possibilities, LLP	0
A &amp; T Creative Workshop Inc.	0
A &amp; V Equities LLC	0
A 10 NETWORKS, INCORPORATED	0
A 123 Systems, LLC	0
A BETTER FABRICATION, LLC	0
A BETTER LIFE WORLDWIDE, LLC	0
A BETTER WAA, INC.	0
A Better Way of Life, Inc.	0
A Big Blessed Family, LLC	0
A Bright Idea Custom Laser Designs LLC	0
A Carsfriend Network Technology Co., Ltd.	0
A ET A MADER	0
A Frame Wind Kits LLC	0
A JA U MAJANDUSTARKVARA OU	0
A L Challis Limited	0
a la mode technologies, inc.	0
A LITTLE THUNDER, LLC	0
A M PACKAGING LIMITED	0
A Major Difference, Inc.	0
A NEW TWIST LLC	0
A NEW WAY OF LIVING PTY LTD	0
A O International, II LLC	0
A O SHALLINOX GMBH	0
A Optix Technologies, Inc.	0
A QUILTER'S EYE, INC.	0
A R C I L	0
A School Corporation Kansai University	0
